timestamp,Delay,Detector,LC,MM,MMInterp,MPC,MultiViewTracker,Planner,TL,TS,Detector_D,Detector_P,Entron,LC_D,LC_P,MAIN,MMInterp_D,MMInterp_P,MM_D,MM_P,MPC_D,MPC_P,MultiViewTracker_D,MultiViewTracker_P,Planner_D,Planner_P,TL_D,TL_P,TS_D,TS_P
1752570364.475106,426.000000,119.474945,81.751030,150.021729,16.595205,18.049940,24.486452,176.961014,14.239916,11.644238,8.057426,14.755244,35.803883,7.764303,12.232262,48.396275,8.392762,60.258366,8.259055,14.589604,8.618576,55.401848,8.115110,40.838909,0.000000,29.999756,8.000807,70.225136,8.005540,85.879379
1752570364.525673,429.000000,118.450478,81.751030,150.038162,16.595205,17.833618,24.087669,176.129150,12.321685,9.129330,8.341556,14.755244,35.740704,7.764303,12.232262,48.453304,8.392762,60.258366,8.259055,14.589604,8.491498,56.073872,8.416717,41.515018,0.000000,29.999756,8.400797,81.157730,8.411774,109.537071
1752570364.562657,430.000000,118.116272,81.751030,150.122269,16.595205,17.833618,24.087669,175.639160,12.321685,9.129330,8.341556,14.755244,35.427135,7.764303,12.232262,48.477627,8.392762,60.258366,8.216395,14.571725,8.491498,56.073872,8.416717,41.515018,0.000000,30.169170,8.400797,81.157730,8.411774,109.537071
1752570364.615123,432.000000,118.116272,81.751030,153.659622,17.117874,17.933117,24.087669,176.257660,12.321685,9.129330,8.341556,14.755244,35.383205,7.764303,12.232262,48.510948,8.291697,58.418468,8.216395,14.571725,8.797400,55.762753,8.416717,41.515018,0.000000,30.169170,8.400797,81.157730,8.411774,109.537071
1752570364.679323,435.000000,118.192482,81.791504,153.577148,17.117874,17.933117,23.834200,175.911041,12.321685,9.129330,8.006393,14.629132,35.216370,7.747880,12.226209,48.629192,8.291697,58.418468,8.216395,14.571725,8.797400,55.762753,8.061540,41.956516,0.000000,30.169170,8.400797,81.157730,8.411774,109.537071
1752570364.713438,434.000000,118.191917,81.791504,156.328369,17.117874,17.933117,23.834200,175.970032,12.596105,9.296248,8.006393,14.629132,35.903404,7.747880,12.226209,48.635021,8.291697,58.418468,7.829005,14.130106,8.797400,55.762753,8.061540,41.956516,0.000000,29.793434,7.924677,79.389626,7.936821,107.570274
1752570364.778760,434.000000,120.700401,81.791504,156.829147,16.970659,18.022509,23.834200,175.369431,12.596105,9.296248,8.006393,14.111292,41.293453,7.747880,12.226209,48.643246,8.008184,58.925228,7.829005,14.130106,8.699222,55.486172,8.061540,41.956516,0.000000,29.793434,7.924677,79.389626,7.936821,107.570274
1752570364.822505,435.000000,120.843750,81.793053,156.829147,16.970659,18.022509,23.706470,175.976669,12.512229,9.227929,7.860433,14.111292,41.287018,7.706000,12.225977,48.426258,8.008184,58.925228,7.829005,14.130106,8.699222,55.486172,7.914265,42.182575,0.000000,29.793434,8.168413,79.921814,8.116561,108.366676
1752570364.884769,435.000000,122.622536,81.793053,158.718842,16.977255,18.137289,23.706470,175.558060,12.512229,9.227929,7.860433,13.813268,42.714855,7.706000,12.225977,48.455288,8.008184,58.925228,7.728425,13.746838,8.699222,55.486172,7.914265,42.182575,0.000000,29.532993,8.168413,79.921814,8.116561,108.366676
1752570364.920838,437.000000,121.942268,81.793053,158.718842,16.977255,18.137289,23.167816,176.175446,12.397601,9.227929,7.844211,13.813268,38.912880,7.706000,12.225977,48.325005,7.870999,58.902336,7.728425,13.746838,8.224135,55.135029,7.936615,43.163326,0.000000,29.532993,8.197340,80.660767,8.116561,108.366676
1752570364.973203,438.000000,121.942268,81.854073,158.924026,16.977255,18.137289,23.167816,176.002670,12.397601,9.268244,7.844211,13.813268,40.521183,7.775222,12.216864,48.312813,7.870999,58.902336,7.737156,13.607250,8.224135,55.135029,7.936615,43.163326,0.000000,29.532993,8.197340,80.660767,8.051226,107.895302
1752570365.020964,438.000000,122.626595,81.854073,159.719696,17.197403,18.137289,23.167816,177.274414,12.397601,9.268244,7.844211,13.592480,39.778671,7.775222,12.216864,48.332790,7.861977,58.148315,7.737156,13.607250,8.224135,55.135029,7.936615,43.163326,0.000000,29.208006,8.197340,80.660767,8.051226,107.895302
1752570365.088576,439.000000,121.630630,81.827538,156.075043,17.197403,17.912397,23.261627,177.194870,11.709390,8.844787,7.759687,14.103595,40.083805,7.792379,12.220824,48.337372,7.861977,58.148315,7.847981,13.885013,8.184900,55.827259,7.782547,42.989254,0.000000,29.208006,8.186068,85.401550,8.341981,113.060951
1752570365.125916,440.000000,122.405907,81.827538,157.226944,17.604866,17.912397,23.169672,179.045364,11.709390,8.844787,8.085654,14.103595,39.305981,7.792379,12.220824,48.222855,7.932467,56.802475,7.847981,13.885013,8.184900,55.827259,7.782547,42.989254,0.000000,28.645214,8.186068,85.401550,8.341981,113.060951
1752570365.171592,440.000000,122.918678,82.694939,160.800735,17.604866,18.067514,23.169672,179.352844,11.687155,8.832297,8.085654,14.103595,41.898201,7.792379,12.220824,48.193943,7.932467,56.802475,7.847981,13.885013,8.041929,55.347958,8.120025,43.159870,0.000000,28.645214,8.285196,85.564026,8.441347,113.220825
1752570365.225613,440.000000,123.287132,82.694939,160.800735,17.428944,18.067514,23.169672,178.862869,11.687155,8.832297,8.085654,14.002331,40.853252,7.836843,12.092639,48.192024,7.983387,57.375824,7.792325,13.350979,8.041929,55.347958,8.120025,43.159870,0.000000,28.415787,8.285196,85.564026,8.441347,113.220825
1752570365.265086,441.000000,123.791168,82.890762,160.871429,17.428944,18.033062,23.086926,179.111786,11.701519,8.844445,8.172308,14.002331,42.989323,7.868641,12.064071,48.221092,7.983387,57.375824,7.792325,13.350979,8.218837,55.453697,8.205301,43.314560,0.000000,28.415787,8.285196,85.564026,8.441347,113.220825
1752570365.327033,442.000000,124.114174,82.890762,160.553940,17.428944,18.033062,23.086926,179.321152,11.701519,8.844445,8.172308,13.939285,46.720837,7.868641,12.064071,48.259758,7.983387,57.375824,7.792325,13.350979,8.218837,55.453697,8.205301,43.314560,0.000000,28.249165,8.348688,85.458992,8.502284,113.065315
1752570365.364095,442.000000,123.861206,82.890762,160.621872,17.428944,18.286077,22.628990,179.121765,11.701519,8.844445,8.381660,13.939285,46.720837,7.868641,12.064071,48.216290,7.983387,57.375824,7.792325,13.350979,8.191916,54.686413,8.450261,44.191101,0.000000,28.249165,8.348688,85.458992,8.502284,113.065315
1752570365.399570,444.000000,124.097786,82.890762,163.049728,17.428944,18.286077,22.628990,179.070557,11.763658,8.882825,8.381660,13.939285,45.346733,7.868641,12.064071,48.145882,7.983387,57.375824,7.776980,13.268601,8.191916,54.686413,8.450261,44.191101,0.000000,28.249165,8.473879,85.007576,8.627816,112.576797
1752570365.479047,445.000000,125.713303,82.890762,163.933212,17.515316,18.286077,22.628990,178.471848,11.763658,8.882825,8.381660,13.939285,46.523533,7.868641,12.064071,48.026585,7.952941,57.092888,7.776980,13.268601,8.191916,54.686413,8.450261,44.191101,0.000000,28.249165,8.473879,85.007576,8.627816,112.576797
1752570365.519692,447.000000,124.263077,82.509781,164.433762,17.515316,18.686476,22.576851,178.907043,11.419883,8.658284,8.318415,13.632298,45.917561,7.868931,12.119776,48.118828,7.952941,57.092888,7.776980,13.268601,8.160983,53.514637,8.344335,44.293156,0.000000,27.762466,8.727746,87.566574,8.893297,115.496330
1752570365.560054,449.000000,123.663681,82.509781,165.120132,17.402836,18.686476,22.576851,178.906799,11.419883,8.658284,8.318415,13.632298,47.624855,7.868931,12.119776,48.141392,7.952941,57.092888,7.776980,13.268601,8.160983,53.514637,8.344335,44.293156,0.000000,27.762466,8.727746,87.566574,8.893297,115.496330
1752570365.640827,452.000000,123.074150,81.177780,163.669601,17.402836,18.686476,23.182932,177.863174,11.455038,8.641407,8.380945,13.744607,49.019642,7.868931,12.119776,48.191040,7.941648,57.461899,7.752836,13.147280,8.160983,53.514637,8.375286,43.135181,0.000000,27.762466,8.676207,87.297836,8.845162,115.721901
