time_stamp,x_acc,y_acc,z_acc,x_acc_bias,y_acc_bias,z_acc_bias,pitch,roll,yaw,pitch_std,roll_std,yaw_std,x_gyro,y_gyro,z_gyro,x_gyro_bias,y_gyro_bias,z_gyro_bias,x_mag,y_mag,z_mag,sensor_time_counter,operation_mode,linear_acceleration_enabled,turn_switch_enabled
1752570362.372682,0.435433,-0.231705,-10.357521,0.000000,0.000000,0.000000,-0.216453,-1.353271,-3.337346,0.000000,0.000000,0.000000,-1.847068,-0.749720,0.782596,0.169904,0.039233,-0.153514,-1.166991,0.291748,-4.383573,5947670,3,1,0
1752570362.382682,0.774909,-0.113004,-10.539666,0.000000,0.000000,0.000000,-0.222903,-1.374332,-3.326950,0.000000,0.000000,0.000000,-1.983655,-0.644667,0.963622,0.169904,0.039233,-0.153514,-1.228283,0.335878,-4.383573,5947680,3,1,0
1752570362.392682,0.786145,0.314794,-10.580950,0.000000,0.000000,0.000000,-0.230661,-1.396000,-3.315111,0.000000,0.000000,0.000000,-1.947106,-0.921162,1.028604,0.169904,0.039233,-0.153514,-1.292026,0.348136,-4.378669,5947690,3,1,0
1752570362.402682,0.469109,0.596841,-10.478611,0.000000,0.000000,0.000000,-0.241005,-1.416373,-3.302712,0.000000,0.000000,0.000000,-1.773599,-1.004244,1.123910,0.169904,0.039233,-0.153514,-1.345963,0.350588,-4.381121,5947700,3,1,0
1752570362.412682,0.295430,0.553116,-10.379516,0.000000,0.000000,0.000000,-0.249592,-1.435235,-3.289029,0.000000,0.000000,0.000000,-1.664318,-0.626047,1.234745,0.169898,0.039223,-0.153515,-1.368028,0.330974,-4.376217,5947710,3,1,0
1752570362.422682,0.345121,0.363875,-10.412252,0.000000,0.000000,0.000000,-0.253114,-1.452911,-3.274796,0.000000,0.000000,0.000000,-1.535952,-0.116790,1.237354,0.169898,0.039223,-0.153515,-1.372931,0.306458,-4.371315,5947720,3,1,0
1752570362.432682,0.598932,0.282360,-10.395360,0.000000,0.000000,0.000000,-0.252201,-1.469066,-3.260759,0.000000,0.000000,0.000000,-1.320732,0.221777,1.279999,0.169898,0.039223,-0.153515,-1.350866,0.272135,-4.363959,5947730,3,1,0
1752570362.442682,0.733400,0.244046,-10.212375,0.000000,0.000000,0.000000,-0.249881,-1.482826,-3.246402,0.000000,0.000000,0.000000,-1.096382,0.155331,1.273025,0.169898,0.039223,-0.153515,-1.284671,0.240263,-4.354153,5947740,3,1,0
1752570362.452682,0.614024,0.230014,-10.042046,0.000000,0.000000,0.000000,-0.249322,-1.494829,-3.232119,0.000000,0.000000,0.000000,-0.991050,0.003071,1.320239,0.169898,0.039223,-0.153515,-1.189056,0.210843,-4.346797,5947750,3,1,0
1752570362.462682,0.501708,0.312339,-9.940742,0.000000,0.000000,0.000000,-0.249259,-1.506522,-3.216670,0.000000,0.000000,0.000000,-0.995307,0.055172,1.453364,0.169898,0.039223,-0.153515,-1.095893,0.186326,-4.339443,5947760,3,1,0
